iter	RMSE
179	0.2944189003
180	0.2936692376
181	0.2927953349
182	0.292140167
183	0.290951738
184	0.2896487138
185	0.2889011849
186	0.2883489977
187	0.2874743026
188	0.2863951755
189	0.2856429234
190	0.284832362
191	0.2837576188
192	0.2830865845
193	0.2824226787
194	0.2814575904
195	0.2806154501
196	0.2796998212
197	0.2786956174
198	0.2779221421
199	0.2772637324
200	0.2764501694
201	0.2758676778
202	0.275190904
203	0.2743347349
204	0.2735934955
205	0.2730519518
206	0.2723023187
207	0.2716932952
208	0.2707366246
209	0.2702386919
210	0.2694278976
211	0.268706439
212	0.2682652338
213	0.2679258581
214	0.2669804646
215	0.2664038536
216	0.2658147889
217	0.2653659725
218	0.2648058227
219	0.2638771394
220	0.263264515
221	0.2626746648
222	0.2620123533
223	0.2615965468
224	0.261165076
225	0.260632115
226	0.2602612802
227	0.2598720614
228	0.2589162222
229	0.2586259579
230	0.2583822203
231	0.2574873203
232	0.2569190558
233	0.2561121887
234	0.2556352106
235	0.2552515144
236	0.2545982412
237	0.2541357988
238	0.2530226446
239	0.252865603
240	0.2523654467
241	0.2520989161
242	0.2514519904
243	0.2507505185
244	0.2502541278
245	0.249653605
246	0.2492102905
247	0.248105039
248	0.2476698495
249	0.2470206417
250	0.2461659551
251	0.2453008918
252	0.2446153461
253	0.2437414669
254	0.2431684617
255	0.2424098642
256	0.2423322749
257	0.2416944621
258	0.2408126634
259	0.2404644217
260	0.2394877545
261	0.2388326622
262	0.2380503203
263	0.2373543312
264	0.23714129
265	0.2365794203
266	0.2358120944
267	0.2355566628
268	0.2352605129
269	0.23450333
270	0.2339759011
271	0.2336135717
272	0.232834754
273	0.2321429332
274	0.2319630242
275	0.2318464266
276	0.230966147
277	0.2302808165
278	0.2297012706
279	0.2291866595
280	0.2288988562
281	0.2282683595
282	0.227327407
283	0.2266576575
284	0.2258587314
285	0.2253517573
286	0.2248203851
287	0.2243791477
288	0.2239057944
289	0.2235003441
290	0.2230162045
291	0.2228392833
292	0.2223357022
293	0.2216549898
294	0.2211137474
295	0.2209286065
296	0.2208251069
297	0.2202896575
298	0.21976962
299	0.2196146437
300	0.2190186496
301	0.2184695421
302	0.2175414413
303	0.2174755326
304	0.216792038
305	0.2162155985
306	0.2156749351
307	0.2148369342
308	0.2142740947
309	0.2135862303
310	0.2129635008
311	0.2126138326
312	0.2118226903
313	0.2109916645
314	0.2109109669
315	0.2101963811
316	0.2094030392
317	0.2085018706
318	0.2081209294
319	0.2076037261
320	0.2075102344
321	0.2066800623
322	0.2060945752
323	0.2053374254
324	0.2046687991
325	0.2042910154
326	0.2037836451
327	0.203394583
328	0.2029186703
329	0.2024953605
330	0.2016633163
331	0.2010453884
332	0.2006901369
333	0.2006142749
334	0.2005396814
335	0.1999044723
336	0.1995267731
337	0.1990446216
338	0.1989649279
339	0.1988380255
340	0.1987739726
341	0.1984103722
342	0.198351476
343	0.1976775062
344	0.1976136285
345	0.1970701288
346	0.1965826501
347	0.1959447335
348	0.1953114181
349	0.1948018461
350	0.1947433973
351	0.1937920444
352	0.1936071737
353	0.193531633
354	0.1929760456
355	0.1929211209
356	0.192459654
357	0.1920976627
358	0.1915313363
359	0.1914743248
360	0.1914198808
361	0.1909070744
362	0.1908533395
363	0.1903300207
364	0.1898081428
365	0.1892693646
366	0.1887834153
367	0.1881494747
368	0.1880521798
369	0.1876499103
370	0.1874798443
371	0.1867818669
372	0.1862653073
373	0.1858069029
374	0.1854792179
375	0.1847910047
376	0.1842382574
377	0.1839271031
378	0.1835281568
379	0.1832528339
380	0.1827744879
381	0.1826696359
382	0.1818876033
383	0.1818148477
384	0.1817392126
385	0.1816937997
386	0.1811947106
387	0.1806406951
388	0.1804109101
389	0.1797605445
390	0.1788783913
391	0.1786713697
392	0.1784136766
393	0.1780675404
394	0.1778024406
395	0.1772484071
396	0.1771843275
397	0.1767156483
398	0.1763007139
399	0.1758584151
400	0.1757789304
401	0.1751281944
402	0.1747812014
403	0.1745010793
404	0.1741467248
405	0.1737453303
406	0.1732929181
407	0.1730259817
408	0.1729500675
409	0.1725987495
410	0.1723138134
411	0.1720567785
412	0.171383416
413	0.1710095672
414	0.1709641852
415	0.1706615903
416	0.1703599178
417	0.170128931
418	0.1699461796
419	0.1695458918
420	0.1692632539
421	0.1686967215
422	0.1684355621
423	0.1682095107
424	0.1681656182
425	0.1677886441
426	0.167751392
427	0.1672971393
428	0.1670924409
429	0.1667215809
430	0.1663358022
431	0.1658062504
432	0.1657551088
433	0.1652483991
434	0.1647724682
435	0.164556825
436	0.1640411251
437	0.163625487
438	0.1633040361
439	0.1628354028
440	0.162303751
441	0.1622435019
442	0.1619132106
443	0.1614834092
444	0.1610617607
445	0.1603068693
446	0.1599418559
447	0.1594948053
448	0.1592166263
449	0.1589915498
450	0.1585076795
451	0.1583461509
452	0.1578602175
453	0.1573611069
454	0.1570049828
455	0.1567986297
456	0.1564539832
457	0.1560946423
458	0.1557217498
459	0.1552758202
460	0.1550192943
461	0.1544883191
462	0.1542056477
463	0.153790638
464	0.1536077322
465	0.1531773056
466	0.1528714368
467	0.1523434783
468	0.1519776053
469	0.1519046403
470	0.1514671522
471	0.1511661135
472	0.1509358572
473	0.1506456673
474	0.150247017
475	0.1498013248
476	0.1495618501
477	0.1492442124
478	0.1487227055
479	0.1483381083
480	0.147917304
481	0.1475702421
482	0.1471816318
483	0.1469279532
484	0.1464824192
485	0.1463012708
486	0.1457591306
487	0.1455348873
488	0.1452009913
489	0.1448170713
490	0.1447545332
491	0.1444895116
492	0.144201491
493	0.1439648403
494	0.1438603421
495	0.1435783339
496	0.1432785854
497	0.143096756
498	0.1426263673
499	0.1423981783
500	0.1423387189
501	0.1420020894
502	0.1415967654
503	0.1413329309
504	0.1411484623
505	0.1407469165
506	0.1402640251
507	0.1400349397
508	0.1394228889
509	0.1389787565
510	0.1389194495
511	0.1388621177
512	0.138667224
513	0.1385582326
514	0.1382700115
515	0.1378144641
516	0.1376491148
517	0.1372369325
518	0.137114393
519	0.1368508453
520	0.1367229041
521	0.136291861
522	0.1358073313
523	0.1357155588
524	0.1353850893
525	0.1350742771
526	0.1347725654
527	0.1345143686
528	0.1341273439
529	0.1339301208
530	0.1337115344
531	0.1333009446
532	0.1328942062
533	0.1327080362
534	0.1326580367
535	0.1324703036
536	0.1322390823
537	0.1321337072
538	0.131573801
539	0.1310228121
540	0.1306781952
541	0.1303175143
542	0.1300380442
543	0.1297252663
544	0.1293148673
545	0.1290991094
546	0.1287489338
547	0.1287020827
548	0.1283695443
549	0.128245029
550	0.1278508101
551	0.1274360404
552	0.1271476033
553	0.1268687424
554	0.126685392
555	0.1266527041
556	0.1266215007
557	0.1265543945
558	0.1264867522
559	0.1261896602
560	0.1259219964
561	0.1257214794
562	0.1255613896
563	0.125117418
564	0.1247886423
565	0.124233907
566	0.1241041532
567	0.1240793733
568	0.1238987872
569	0.1235705644
570	0.1232905541
571	0.1230786416
572	0.1228788626
573	0.1223773329
574	0.1221002593
575	0.1219409537
576	0.1217209804
577	0.1214316897
578	0.1212171393
579	0.1208889324
580	0.1207767652
581	0.120580008
582	0.1203982301
583	0.1202190743
584	0.1199298124
585	0.1196915508
586	0.1194846883
587	0.1192343251
588	0.1189752683
589	0.1187623754
590	0.1184390426
591	0.1182720596
592	0.1178087139
593	0.1177140051
594	0.1176899352
595	0.1171975812
596	0.1169492897
597	0.1167168324
598	0.1164444183
599	0.1159836738
600	0.1156334717
601	0.115313383
602	0.1149736416
603	0.1148033799
604	0.1146751282
605	0.1145035396
606	0.1144487553
607	0.1142287923
608	0.1139047057
609	0.1135356563
610	0.1133229093
611	0.1132148573
612	0.112926641
613	0.1126859088
614	0.1123680884
615	0.1120978583
616	0.1117937574
617	0.1115251807
618	0.1112438754
619	0.1111179066
620	0.1109839194
621	0.1109470215
622	0.1108749819
623	0.1106186676
624	0.1106004166
625	0.1103899403
626	0.1101771844
627	0.1101340072
628	0.1098664429
629	0.1095631843
630	0.1092612532
631	0.1090797883
632	0.1089263098
633	0.1088994084
634	0.1086614369
635	0.1083951417
636	0.1081591673
637	0.107865411
638	0.1076209992
639	0.1075956306
640	0.1073629325
641	0.1070887949
642	0.1068880618
643	0.1066879299
644	0.1065740747
645	0.1062743177
646	0.1060239964
647	0.1056143153
648	0.1053933733
649	0.1051623048
650	0.1050610585
651	0.1047782937
652	0.104644162
653	0.1044098294
654	0.1041494062
655	0.1038001185
656	0.1036071601
657	0.1035623504
658	0.1032405484
659	0.1032109524
660	0.1029939616
661	0.1029141891
662	0.1027731534
663	0.1026092384
664	0.1025001787
665	0.1022084446
666	0.1019689403
667	0.1017528935
668	0.1017295299
669	0.1015662808
670	0.1014411925
671	0.1012344344
672	0.1010189925
673	0.1007612822
674	0.1004447767
675	0.1002577951
676	0.1000515061
677	0.0998590208
678	0.09972481581
679	0.09953003408
680	0.09925468748
681	0.09906193803
682	0.09877884638
683	0.098514991
684	0.09847710796
685	0.098240698
686	0.09791668015
687	0.09780497854
688	0.09763531356
689	0.09740269742
690	0.0971436804
691	0.09712246448
692	0.09696617679
693	0.09675809932
694	0.09654677191
695	0.09640842462
696	0.096218887
697	0.09619926859
698	0.0961242834
699	0.09597909183
700	0.09579140581
701	0.0955162167
702	0.09539014187
703	0.09515707415
704	0.09501713687
705	0.09494289961
706	0.09492339804
707	0.09481924051
708	0.09455719736
709	0.0942711523
710	0.09409880661
711	0.09399432373
712	0.09369403392
713	0.09350128017
714	0.09321274662
715	0.09301341395
716	0.09284882591
717	0.09268144364
718	0.09242630651
719	0.09227226941
720	0.09206197021
721	0.0919369289
722	0.09174986313
723	0.09160396184
724	0.09143683783
725	0.09119473597
726	0.09108933635
727	0.09085571071
728	0.09068325811
729	0.0904853502
730	0.09037298517
731	0.0902822565
732	0.09009344681
733	0.09007861525
734	0.08981359713
735	0.08964877171
736	0.089540467
737	0.08932005473
738	0.0891300769
739	0.08893183505
740	0.088733245
741	0.08871986082
742	0.08858129086
743	0.08843905419
744	0.08839634717
745	0.08815804504
746	0.08798567196
747	0.08780113347
748	0.08776686933
749	0.0875852983
750	0.0875363606
751	0.08736241765
752	0.08723161674
753	0.08701263816
754	0.08684167319
755	0.08667521495
756	0.08647302093
757	0.08627041316
758	0.08618124254
759	0.0860270272
760	0.08582735958
761	0.08573596791
762	0.08556592729
763	0.08544133461
764	0.08531907168
765	0.08521890256
766	0.08503477083
767	0.0848429754
768	0.08470536914
769	0.08461536686
770	0.08452213532
771	0.08433312776
772	0.08419110766
773	0.08406248318
774	0.08384520032
775	0.08361870466
776	0.08345213805
777	0.08334391879
778	0.0831174179
779	0.08300015627
780	0.08272793352
781	0.08266698167
782	0.08259885844
783	0.08250195007
784	0.08242529688
785	0.08223705091
786	0.08199251044
787	0.08187224329
788	0.0817145475
789	0.08166577917
790	0.08156292532
791	0.08154997457
792	0.08144588713
793	0.08132150995
794	0.08120573356
795	0.08118430785
796	0.08090551373
797	0.08072044779
798	0.080536351
799	0.08041092228
800	0.08019809598
801	0.08007558797
802	0.07988635517
803	0.07980368234
804	0.07967450416
805	0.07958088676
806	0.07946760384
807	0.07931531726
808	0.0791619341
809	0.07899761064
810	0.07875881098
811	0.07855358651
812	0.07840443194
813	0.07825265564
814	0.07816746599
815	0.07804961151
816	0.07797486648
817	0.07778950905
818	0.07766535466
819	0.07751212877
820	0.07739768313
821	0.07726467424
822	0.07714595369
823	0.07704898357
824	0.07689242696
825	0.07672062082
826	0.07670001481
827	0.07657855103
828	0.07645699938
829	0.07636661547
830	0.07623870488
831	0.07622756226
832	0.07614398632
833	0.07605269446
834	0.07600890153
835	0.07588780057
836	0.07580720922
837	0.07579253543
838	0.07569065941
839	0.07556892973
840	0.07537970415
841	0.0753063924
842	0.07525332256
843	0.07514701722
844	0.07502409657
845	0.07482660681
846	0.07464865985
847	0.07454457582
848	0.07444801131
849	0.07421304391
850	0.07407756223
851	0.07394853306
852	0.07391149709
853	0.07379024746
854	0.0736234401
855	0.07338632233
856	0.07322950077
857	0.07315125024
858	0.07304457397
859	0.07294477527
860	0.07289383055
861	0.0727613554
862	0.0726454544
863	0.07255693778
864	0.07233514199
865	0.07212625318
866	0.07204444121
867	0.0719796256
868	0.07172245312
869	0.07157784541
870	0.07144481005
871	0.07139486722
872	0.07125567383
873	0.0711343092
874	0.07104731062
875	0.07084353063
876	0.0708273485
877	0.07069442759
878	0.07057768187
879	0.07045470374
880	0.07036594419
881	0.07033849247
882	0.07030031997
883	0.07024740322
884	0.07021816749
885	0.07014854224
886	0.07004960959
887	0.0699076202
888	0.06981556495
889	0.06972720218
890	0.06969239924
891	0.06957684328
892	0.06946764717
893	0.06944575949
894	0.06937681424
895	0.06929870317
896	0.06919692397
897	0.06913368153
898	0.06903891153
899	0.06896242403
900	0.06883936723
901	0.06881725449
902	0.06872457045
903	0.06866299368
904	0.06864428866
905	0.06861058923
906	0.0684702178
907	0.06836589255
908	0.06834226758
909	0.06833175722
910	0.06822800884
911	0.06799336802
912	0.06790857865
913	0.06789381287
914	0.06783735403
915	0.06771800448
916	0.06763017232
917	0.06750722516
918	0.06740102747
919	0.06729981633
920	0.06721699593
921	0.06707702904
922	0.06695633555
923	0.06678953096
924	0.06668517782
925	0.06664703481
926	0.06648908082
927	0.066367932
928	0.06619986466
929	0.06612208558
930	0.06597191804
931	0.0658477265
932	0.0657896958
933	0.06562584994
934	0.06546851011
935	0.06532245503
936	0.06516543905
937	0.06501724354
938	0.06500985397
939	0.06496322785
940	0.0648618793
941	0.06474246208
942	0.06473109571
943	0.0646156026
944	0.06448037539
945	0.0643974694
946	0.06426856367
947	0.06414079946
948	0.06406167094
949	0.06390458866
950	0.06369862295
951	0.06361832552
952	0.06355313411
953	0.06341027076
954	0.06326361565
955	0.06314989087
956	0.06306068833
957	0.06296696609
958	0.0628605889
959	0.06276758291
960	0.0626524772
961	0.06263805282
962	0.06257463043
963	0.06254244534
964	0.06243044532
965	0.06231921157
966	0.06229522992
967	0.06227567591
968	0.06226624918
969	0.06215286686
970	0.06212570176
971	0.06203573327
972	0.06189494438
973	0.06180955935
974	0.06164384668
975	0.06152790409
976	0.06142026708
977	0.06135731896
978	0.06126354578
979	0.06116705779
980	0.06112427443
981	0.06101929056
982	0.06094723766
983	0.06085286215
984	0.06068068688
985	0.060657501
986	0.06065050848
987	0.06047850496
988	0.06030270932
989	0.06025918534
990	0.06019712446
991	0.06008157375
992	0.06002283825
993	0.05989043622
994	0.05975159904
995	0.05968276923
996	0.05962747118
997	0.05962229801
998	0.0595908094
999	0.05946879706
