,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel",GINI Index(Household Income)
47,Argentina,2017,6.03933000564575,9.84930324554443,0.906699120998383,68.5999984741211,0.831966161727905,-0.178521722555161,0.8410524725914,0.809422612190247,0.291717261075974,0.305430293083191,0.348274648189545,-0.160796791315079,2.40932893753052,0.3989397585392,0.460705882352941,0.394175797700882
48,Argentina,2018,5.79279661178589,9.81367778778076,0.89991158246994,68.8000030517578,0.845894694328308,-0.20315320789814,0.855255246162415,0.820309698581696,0.320502072572708,0.261352270841598,0.292616724967957,-0.135139301419258,2.47255873680115,0.42683333158493,0.460705882352941,0.405355930328369
49,Argentina,2019,6.08556079864502,9.77213954925537,0.896370530128479,69,0.817052602767944,-0.2026147544384,0.830459773540497,0.825964629650116,0.319054841995239,0.273853003978729,0.329828550418218,-0.180740639567375,2.25897598266602,0.37120258808136,0.460705882352941,0.396574169397354
60,Armenia,2016,4.32547187805176,9.00683212280273,0.709218323230743,66.3000030517578,0.610986948013306,-0.154329940676689,0.921421051025391,0.593600273132324,0.437227815389633,0.184713035821915,-0.62079918384552,-0.149800956249237,2.12636423110962,0.491591274738312,0.320235294117647,0.381563633680344
61,Armenia,2017,4.28773641586304,9.07620620727539,0.697924911975861,66.5999984741211,0.613697052001953,-0.130840241909027,0.864683330059052,0.625013828277588,0.437148749828339,0.246900990605354,-0.590790510177612,-0.134983420372009,2.32537889480591,0.542332530021668,0.320235294117647,0.47887659072876
62,Armenia,2018,5.06244850158691,9.12453651428223,0.814449012279511,66.9000015258789,0.80764365196228,-0.146650195121765,0.676826357841492,0.581487715244293,0.454840272665024,0.670827627182007,-0.2661192715168,-0.063555620610714,2.10211062431335,0.415235966444016,0.320235294117647,0.406403481960297
72,Australia,2016,7.25008010864258,10.7056159973145,0.942334234714508,73,0.922315716743469,0.235243871808052,0.398545116186142,0.790868282318115,0.236085787415504,0.452731758356094,1.19948530197144,1.75927782058716,1.69882786273956,0.234318494796753,0.343333333333333,0.520914137363434
73,Australia,2017,7.25703763961792,10.7119264602661,0.949957847595215,73.3000030517578,0.910550177097321,0.314024686813354,0.411346524953842,0.780078887939453,0.225360974669456,0.45340695977211,1.13705611228943,1.73565876483917,1.74569892883301,0.240552559494972,0.343333333333333,0.428340911865234
74,Australia,2018,7.17699337005615,10.7241325378418,0.940137267112732,73.5999984741211,0.916028141975403,0.143235072493553,0.404647499322891,0.759018838405609,0.187456369400024,0.46883687376976,1.20236110687256,1.7618145942688,1.75028252601624,0.243874058127403,0.343333333333333,0.429814219474793
75,Australia,2019,7.23399496078491,10.725492477417,0.94277435541153,73.9000015258789,0.917536914348602,0.117621675133705,0.430208653211594,0.770043551921845,0.202190071344376,0.468700021505356,1.17963417371114,1.75225039323171,1.69503426551819,0.234315097332001,0.343333333333333,0.577555775642395
84,Austria,2016,7.04807186126709,10.7070722579956,0.92631858587265,72.4000015258789,0.88851398229599,0.083456434309483,0.523640990257263,0.755902588367462,0.197423845529556,0.432638227939606,1.12352800369263,1.57896113395691,1.70440018177032,0.24182502925396,0.302692307692308,0.292294293642044
85,Austria,2017,7.29372787475586,10.7253150939941,0.906217813491821,72.6999969482422,0.890030562877655,0.136695593595505,0.51830381155014,0.747568726539612,0.180268719792366,0.435907930135727,1.19469499588013,1.55928504467011,1.56106197834015,0.214028000831604,0.302692307692308,0.32294163107872
86,Austria,2018,7.3960018157959,10.7466325759888,0.911668121814728,73,0.904111981391907,0.056910619139671,0.52306056022644,0.752350389957428,0.226058796048164,0.488678723573685,1.14909756183624,1.6175389289856,1.55194008350372,0.209835007786751,0.302692307692308,0.299504399299622
87,Austria,2019,7.19536113739014,10.7561798095703,0.964488804340362,73.3000030517578,0.90342766046524,0.063280828297138,0.457088887691498,0.77445924282074,0.20516973733902,0.512338280677795,1.15577352046967,1.58526170253754,1.54873144626617,0.215240269899368,0.302692307692308,0.335094451904297
98,Azerbaijan,2016,5.30389499664307,9.68855857849121,0.777271032333374,64.9000015258789,0.712573170661926,-0.221145629882812,0.606770813465118,0.597593486309052,0.191117197275162,0.734052121639252,-1.18348979949951,-0.451500326395035,1.61318159103394,0.304150372743607,0.2836,0.288716018199921
