Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"gini of household income reported in Gallup, by wp5-year",Life Ladder
7.471376419067383,0.5590717792510986,53.0,0.5225661993026733,0.053187966346740716,0.7932455539703369,0.5649526715278625,0.3483322858810425,0.3249895572662353,-1.8554482460021973,-1.3946480751037598,0.4186294972896576,4.220168590545653
7.47219705581665,0.4908800721168518,52.79999923706055,0.4270108640193939,-0.11038155108690262,0.9543925523757936,0.4963485598564148,0.3713261783123016,0.26117852330207825,-1.8965394496917725,-1.4402178525924685,0.2865988612174988,2.6617181301116943
7.458603382110597,0.5075158476829529,52.599998474121094,0.37353554368019104,-0.08231879025697708,0.92760568857193,0.4241253137588501,0.4049043953418732,0.3646664023399353,-1.8707246780395508,-1.4387612342834473,0.2906813323497772,2.694303274154663
7.458468914031982,0.41997286677360535,52.4000015258789,0.3936561644077301,-0.0965489223599434,0.9238491058349608,0.35138705372810364,0.5024737119674683,0.3414822220802307,-1.8742374579111736,-1.4245423873265584,0.3749296963214874,2.375091791152954
9.337564468383787,0.6384114623069763,68.09999847412111,0.7298189401626587,-0.017473436892032623,0.901070773601532,0.6752437353134155,0.32170599699020386,0.400909811258316,0.2572969496250153,-0.13296018540859222,0.41654035449028015,4.511100769042969
9.37613296508789,0.6376982927322388,68.40000152587889,0.7496110200881958,-0.02935722284018993,0.8761346340179443,0.6692408919334412,0.3338841199874878,0.457737535238266,0.2903258502483368,-0.12831148505210874,0.41048797965049744,4.639548301696777
9.41786289215088,0.6835916638374329,68.69999694824219,0.8242123126983643,0.008336669765412806,0.8991293907165527,0.7132995724678041,0.31899672746658325,0.4353379607200623,0.2942347824573517,-0.12940289080142975,0.4561741948127746,5.0044026374816895
9.456568717956543,0.6863648891448975,69.0,0.7773514389991759,-0.10078410804271698,0.9142842888832092,0.6810804009437561,0.27382737398147583,0.33662787079811096,0.28061919411023456,-0.13022485375404358,0.39771604537963867,4.995317935943604
9.542513847351074,0.7485882639884949,65.5,0.4683781663576762,-0.12408173084259032,0.7330292264620463,0.6605104804039001,0.3771119713783264,0.4963536123075053,-0.9803473949432372,-0.8095830082893372,0.6046167016029358,5.340853691101074
9.53793716430664,0.8067538738250732,65.69999694824219,0.4366704821586609,-0.18774977326393127,0.6997742056846619,0.6419796347618103,0.2887100279331207,0.4963536123075053,-0.9102727174758912,-0.8133942484855652,0.5275557637214661,5.248912334442139
9.53864574432373,0.7986513376235962,65.90000152587889,0.5833805799484253,-0.1674029976129532,0.7587041258811951,0.5910429358482361,0.2929455637931824,0.4963536123075053,-0.8873843550682068,-0.7798625826835632,0.66787189245224,5.043086051940918
9.537368774414062,0.8032586574554443,66.09999847412111,0.3850834369659424,-0.01709242165088654,0.740609347820282,0.5849443078041077,0.21519775688648224,0.4963536123075053,-0.9260014891624452,-0.8009466131528219,0.3044843673706055,4.744627475738525
9.833337783813477,0.8828191161155701,68.40000152587889,0.8477022051811218,-0.1844516545534134,0.8509244918823242,0.8419067263603209,0.3116464614868164,0.4195618331432343,0.3485942780971527,-0.2462858259677887,0.3320708274841309,6.4272212982177725
9.849303245544434,0.9066991209983826,68.59999847412111,0.8319661617279053,-0.17852172255516052,0.8410524725914001,0.8094226121902466,0.2917172610759735,0.3054302930831909,0.3482746481895447,-0.16079679131507876,0.394175797700882,6.039330005645753
9.813677787780762,0.8999115824699402,68.80000305175781,0.8458946943283081,-0.20315320789813995,0.8552552461624146,0.8203096985816956,0.3205020725727081,0.2613522708415985,0.2926167249679565,-0.13513930141925812,0.4053559303283691,5.792796611785889
9.772139549255373,0.896370530128479,69.0,0.8170526027679443,-0.20261475443840027,0.8304597735404968,0.825964629650116,0.3190548419952393,0.27385300397872925,0.329828550418218,-0.1807406395673752,0.3965741693973541,6.08556079864502
9.006832122802734,0.7092183232307434,66.30000305175781,0.6109869480133057,-0.15432994067668915,0.9214210510253906,0.5936002731323242,0.4372278153896332,0.18471303582191467,-0.62079918384552,-0.14980095624923706,0.3815636336803436,4.325471878051759
9.07620620727539,0.6979249119758606,66.59999847412111,0.6136970520019531,-0.1308402419090271,0.8646833300590515,0.6250138282775879,0.4371487498283386,0.2469009906053543,-0.5907905101776123,-0.13498342037200928,0.4788765907287598,4.287736415863037
9.124536514282227,0.8144490122795105,66.90000152587889,0.8076436519622803,-0.14665019512176514,0.6768263578414917,0.5814877152442932,0.4548402726650238,0.6708276271820068,-0.2661192715167999,-0.06355562061071396,0.40640348196029663,5.062448501586914
10.705615997314453,0.942334234714508,73.0,0.9223157167434692,0.2352438718080521,0.398545116186142,0.7908682823181152,0.2360857874155045,0.4527317583560944,1.1994853019714355,1.7592778205871582,0.5209141373634338,7.250080108642577
10.711926460266113,0.9499578475952148,73.30000305175781,0.9105501770973206,0.3140246868133545,0.41134652495384216,0.7800788879394531,0.2253609746694565,0.45340695977211,1.1370561122894287,1.7356587648391724,0.4283409118652344,7.25703763961792
10.724132537841797,0.940137267112732,73.5999984741211,0.9160281419754028,0.14323507249355316,0.4046474993228912,0.7590188384056091,0.1874563694000244,0.4688368737697601,1.2023611068725586,1.7618145942687988,0.4298142194747925,7.176993370056152
10.725492477416992,0.9427743554115297,73.9000015258789,0.9175369143486024,0.11762167513370515,0.4302086532115936,0.7700435519218445,0.2021900713443756,0.4687000215053558,1.1796341737111409,1.7522503932317095,0.577555775642395,7.233994960784912
