Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Benin,2017,medium,low,low,low,medium,medium,medium,low,high,medium,medium,low,2.99812650680542,0.6177652478218079,medium,high
Benin,2018,medium,low,low,low,medium,medium,medium,medium,high,medium,medium,low,3.313297986984253,0.5693120956420898,medium,high
Benin,2019,medium,low,low,low,medium,medium,medium,medium,high,high,medium,low,3.299245595932007,0.6629835963249207,medium,medium
Bolivia,2016,medium,medium,medium,medium,high,medium,high,high,high,low,medium,low,2.0505731105804443,0.3554023206233978,high,medium
Bolivia,2017,medium,medium,medium,medium,high,low,high,medium,high,medium,medium,low,2.2504842281341557,0.3982768356800079,high,medium
Bolivia,2018,medium,medium,medium,medium,high,medium,high,medium,high,low,medium,low,2.2045419216156006,0.3726573586463928,high,medium
Bolivia,2019,medium,medium,medium,medium,high,medium,high,high,high,low,medium,low,2.2516534328460693,0.3968181312084198,high,medium
Bosnia and Herzegovina,2016,medium,medium,medium,medium,low,medium,high,medium,medium,low,medium,medium,2.2160487174987797,0.4277371764183045,low,medium
Bosnia and Herzegovina,2017,medium,medium,medium,medium,low,medium,high,low,medium,low,medium,medium,2.2810065746307373,0.448143482208252,low,medium
Bosnia and Herzegovina,2018,medium,medium,medium,medium,low,medium,high,medium,medium,low,medium,medium,1.9877502918243408,0.3376277983188629,low,medium
Bosnia and Herzegovina,2019,medium,medium,high,medium,medium,medium,high,medium,low,low,medium,medium,2.2574050426483154,0.3752633333206177,low,low
Botswana,2016,low,medium,medium,low,high,low,medium,medium,low,high,high,medium,2.685791492462158,0.7676022052764893,high,high
Botswana,2017,low,medium,medium,low,high,low,medium,medium,medium,high,high,medium,2.6694254875183105,0.7616308331489563,high,high
Botswana,2018,low,medium,medium,low,high,low,high,medium,medium,high,high,medium,2.637892484664917,0.7620958685874939,high,high
Botswana,2019,low,medium,medium,low,high,low,high,medium,medium,high,high,medium,2.614710807800293,0.7532834410667419,high,high
Brazil,2016,high,medium,high,medium,medium,low,high,high,medium,low,medium,medium,2.5180392265319824,0.39499786496162415,high,medium
Brazil,2017,high,medium,high,medium,medium,low,high,medium,medium,low,medium,medium,2.530506134033203,0.3995791077613831,high,medium
Brazil,2018,high,medium,high,medium,medium,low,medium,high,medium,low,medium,medium,2.637867212295532,0.4260863363742829,high,medium
Brazil,2019,high,medium,high,medium,high,medium,medium,high,medium,low,medium,medium,2.4853222370147705,0.3852526545524597,high,high
Bulgaria,2016,medium,medium,high,medium,medium,low,high,medium,low,low,medium,medium,1.9175925254821775,0.39639657735824585,medium,low
Bulgaria,2017,medium,medium,high,medium,medium,low,high,low,low,low,high,medium,1.8523638248443604,0.3634293675422669,medium,low
Bulgaria,2018,medium,medium,high,medium,medium,low,high,medium,low,low,high,medium,2.037506580352783,0.3996040523052216,medium,low
Bulgaria,2019,medium,medium,high,medium,high,low,high,medium,low,low,high,medium,2.052162408828736,0.4017201364040375,medium,low
Burkina Faso,2016,low,low,medium,low,low,medium,medium,low,medium,high,medium,medium,1.9667134284973145,0.4676377475261688,medium,medium
Burkina Faso,2017,low,low,medium,low,low,medium,medium,low,medium,medium,medium,medium,2.19759202003479,0.4729166030883789,medium,medium
Burkina Faso,2018,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,2.6460697650909424,0.5370292067527771,medium,high
Burkina Faso,2019,low,low,low,low,medium,medium,medium,medium,high,high,medium,medium,2.8427886962890625,0.5996314883232117,medium,medium
Cambodia,2016,low,low,medium,medium,high,medium,high,high,high,high,medium,low,2.5605764389038086,0.5739582180976868,medium,medium
Cambodia,2017,low,low,medium,medium,high,medium,high,high,high,high,medium,low,2.732651472091675,0.5958886742591858,medium,medium
Cambodia,2018,medium,low,medium,medium,high,medium,high,high,high,high,medium,low,2.911452531814575,0.5684390664100647,medium,high
Cambodia,2019,medium,low,medium,medium,high,medium,high,high,high,high,medium,low,2.8256046772003174,0.5653148889541626,medium,high
Cameroon,2016,low,low,low,low,medium,medium,high,medium,high,medium,low,low,2.363250970840454,0.4906845986843109,medium,medium
Cameroon,2017,medium,low,low,low,medium,medium,high,medium,high,medium,low,low,2.8152244091033936,0.5548277497291565,medium,medium
Cameroon,2018,medium,low,low,low,high,medium,high,medium,medium,medium,low,low,2.9213135242462163,0.556362509727478,medium,medium
Cameroon,2019,medium,low,low,low,medium,medium,high,medium,medium,medium,low,low,2.7359399795532227,0.5541999936103821,medium,medium
Canada,2016,high,high,high,high,high,high,low,high,low,medium,high,high,1.7764630317687988,0.2452037036418915,low,high
Canada,2017,high,high,high,high,high,medium,low,high,low,medium,high,high,1.6033637523651123,0.21623630821704865,low,high
Canada,2018,high,high,high,high,high,medium,low,high,medium,medium,high,high,1.7644574642181396,0.24590039253234866,low,medium
Canada,2019,high,high,high,high,high,medium,low,high,medium,medium,high,high,1.7844544649124146,0.2510107159614563,low,medium
Chad,2016,low,low,low,low,low,medium,high,low,high,medium,low,low,2.435532808303833,0.6044480204582214,medium,medium
Chad,2017,low,low,low,low,low,medium,high,medium,high,medium,low,low,2.8809604644775386,0.6319369077682495,medium,medium
Chad,2018,low,low,low,low,low,medium,medium,low,high,medium,low,low,3.107621431350708,0.6926875114440918,medium,high
Chad,2019,low,low,low,low,low,medium,high,low,high,medium,low,low,3.137524127960205,0.7381021976470947,medium,high
Chile,2016,high,high,medium,high,low,medium,high,high,medium,low,high,high,1.986255407333374,0.3019058108329773,high,medium
Chile,2017,high,high,high,high,medium,medium,high,high,medium,low,high,high,2.1624202728271484,0.342148631811142,high,high
Chile,2018,high,high,high,high,medium,medium,high,high,medium,low,high,high,2.1529984474182133,0.3345128297805786,high,medium
Chile,2019,medium,high,high,high,low,low,high,high,medium,low,high,high,2.1155881881713867,0.35602474212646484,high,medium
China,2016,medium,medium,medium,medium,high,low,medium,high,low,medium,low,medium,1.9963380098342896,0.3749022483825684,medium,medium
China,2017,medium,medium,medium,medium,high,low,medium,high,low,medium,medium,medium,2.2716639041900635,0.4455062747001648,medium,high
China,2018,medium,medium,medium,high,high,low,medium,high,low,medium,medium,medium,2.2628591060638428,0.4409798681735992,medium,medium
China,2019,medium,medium,medium,high,high,low,medium,high,low,medium,medium,medium,2.2471437454223637,0.4368373453617096,medium,medium
Colombia,2016,high,medium,high,medium,high,low,high,high,medium,low,medium,medium,2.568723440170288,0.4120694398880005,high,medium
Colombia,2017,medium,medium,high,medium,high,low,high,high,medium,low,medium,medium,2.5448215007781982,0.41329872608184814,high,medium
Colombia,2018,medium,medium,high,medium,high,low,high,high,medium,low,medium,medium,2.6826722621917725,0.4483440518379211,high,medium
Colombia,2019,high,medium,high,medium,high,low,high,high,medium,low,medium,medium,2.704170227050781,0.4258336126804352,high,medium
Congo (Brazzaville),2016,low,medium,low,low,medium,low,high,low,medium,medium,medium,low,2.6786000728607178,0.6502255797386169,high,medium
Congo (Brazzaville),2017,medium,low,low,low,medium,low,medium,low,high,medium,medium,low,2.9068012237548833,0.595169186592102,high,medium
Congo (Brazzaville),2018,medium,low,low,low,medium,low,medium,low,high,medium,medium,low,3.346595287322998,0.6095563769340515,high,high
Congo (Brazzaville),2019,medium,low,low,low,medium,medium,medium,medium,high,medium,medium,low,3.3797605037689213,0.6483800411224365,high,medium
Costa Rica,2016,high,medium,high,high,high,medium,high,high,medium,low,high,medium,2.1436471939086914,0.3004150688648224,high,medium
Costa Rica,2017,high,medium,high,high,high,medium,medium,high,medium,low,high,medium,2.079983949661255,0.2878798246383667,high,medium
Costa Rica,2018,high,medium,high,high,high,low,high,high,medium,medium,high,medium,2.14596962928772,0.3005107343196869,high,high
Costa Rica,2019,high,medium,high,high,high,low,high,high,medium,low,high,medium,2.154904127120972,0.3079482018947601,high,medium
Croatia,2016,medium,high,medium,medium,medium,medium,high,low,medium,low,high,medium,1.933725118637085,0.3569816648960113,low,low
Croatia,2017,medium,high,medium,high,medium,low,high,medium,medium,low,high,medium,1.5708214044570925,0.2939870059490204,low,low
Croatia,2018,medium,high,high,high,medium,low,high,low,medium,low,high,medium,1.7036806344985962,0.30773070454597473,low,low
Croatia,2019,medium,high,high,high,medium,low,high,low,medium,low,high,medium,1.7105309963226318,0.3040542006492615,low,low
Cyprus,2016,medium,high,medium,high,medium,medium,high,medium,medium,low,high,high,2.42055082321167,0.4177239239215851,low,medium
Cyprus,2017,medium,high,medium,high,medium,medium,high,high,medium,low,high,high,2.369524955749512,0.3908784091472626,low,medium
Cyprus,2018,high,high,medium,high,medium,medium,high,high,medium,low,high,high,2.12888503074646,0.3391865491867065,low,medium
Cyprus,2019,medium,high,medium,high,medium,medium,high,high,medium,low,high,high,2.1098592281341557,0.3438026309013367,low,medium
Czech Republic,2016,high,high,high,high,high,low,high,high,low,medium,high,high,1.6821707487106323,0.24974225461483,low,low
Czech Republic,2017,high,high,high,high,high,low,high,medium,low,low,high,high,1.697134494781494,0.2499620765447617,low,low
Czech Republic,2018,high,high,high,high,medium,low,high,medium,low,medium,high,high,1.674933671951294,0.23811405897140506,low,low
Denmark,2016,high,high,high,high,high,medium,low,high,low,medium,high,high,1.611469864845276,0.21321992576122284,low,medium
Denmark,2017,high,high,high,high,high,medium,low,high,low,medium,high,high,1.6680742502212524,0.2196654826402664,low,high
Denmark,2018,high,high,high,high,high,medium,low,high,low,medium,high,high,1.6510601043701172,0.2158591151237488,low,medium
Denmark,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.4724513292312622,0.1914013624191284,low,medium
Dominican Republic,2016,medium,medium,high,medium,high,medium,medium,high,medium,medium,medium,medium,3.112091541290283,0.5940581560134888,high,medium
Dominican Republic,2017,medium,medium,high,medium,high,low,medium,medium,medium,medium,medium,medium,3.2408370971679688,0.5781837701797485,high,medium
Dominican Republic,2018,medium,medium,high,medium,high,low,medium,medium,medium,medium,medium,medium,3.395453929901123,0.624943733215332,high,medium
Dominican Republic,2019,medium,medium,high,medium,high,low,medium,high,medium,low,medium,medium,3.2190172672271733,0.5361242890357971,high,medium
Ecuador,2016,medium,medium,medium,medium,high,medium,high,high,high,medium,medium,low,2.4262428283691406,0.3967406749725342,high,medium
Ecuador,2017,medium,medium,medium,medium,high,low,medium,high,medium,medium,medium,low,2.6931753158569336,0.4611981809139252,high,medium
Ecuador,2018,medium,medium,medium,medium,high,low,high,high,medium,low,medium,low,2.4857876300811768,0.4056435227394104,high,medium
Ecuador,2019,medium,medium,medium,medium,high,low,high,high,high,low,medium,low,2.49181604385376,0.4289481341838837,high,medium
Egypt,2016,low,medium,medium,medium,low,low,high,low,high,medium,low,low,2.0551702976226807,0.4510176181793213,low,low
Egypt,2017,low,medium,low,medium,low,low,high,low,high,medium,low,low,2.289860725402832,0.5827590227127075,low,low
Egypt,2018,low,medium,medium,medium,medium,low,high,low,medium,medium,low,low,2.0206060409545903,0.5044640898704529,low,low
Egypt,2019,low,medium,medium,medium,medium,low,high,low,medium,medium,low,low,1.932219624519348,0.4464636743068695,low,low
El Salvador,2016,medium,medium,medium,medium,medium,low,high,high,medium,low,medium,medium,2.59812593460083,0.4231596291065216,medium,medium
El Salvador,2017,high,medium,medium,medium,medium,low,high,high,medium,low,medium,medium,2.4771559238433842,0.3907606303691864,medium,medium
El Salvador,2018,high,medium,medium,medium,high,low,high,high,medium,low,medium,medium,2.661110639572144,0.426378071308136,medium,medium
El Salvador,2019,high,medium,medium,medium,high,low,medium,high,medium,high,medium,medium,2.737006664276123,0.4240252077579498,medium,medium
Estonia,2016,medium,high,high,medium,high,low,medium,medium,low,low,high,high,1.7530863285064695,0.3102985918521881,low,low
Estonia,2017,medium,high,high,medium,high,low,medium,high,low,low,high,high,1.851839900016785,0.31184175610542303,low,medium
Estonia,2018,medium,high,high,medium,high,low,medium,high,low,medium,high,high,1.7629237174987793,0.2894165515899658,low,low
Estonia,2019,medium,high,high,medium,high,low,medium,high,low,low,high,high,1.8420811891555784,0.3052511513233185,low,low
Ethiopia,2016,low,low,medium,low,medium,medium,medium,medium,medium,high,low,low,1.8089821338653564,0.4209040999412537,low,medium
Ethiopia,2017,low,low,medium,low,medium,medium,medium,low,medium,high,low,low,1.8299158811569212,0.4377458691596985,low,medium
Ethiopia,2018,low,low,medium,low,medium,medium,high,medium,medium,high,low,low,1.945811152458191,0.44432392716407776,low,medium
Ethiopia,2019,low,low,medium,low,medium,medium,medium,medium,medium,high,low,low,2.309894323348999,0.563450038433075,low,medium
Finland,2016,high,high,high,high,high,medium,low,high,low,medium,high,high,1.4790186882019043,0.19308732450008392,low,medium
Finland,2017,high,high,high,high,high,medium,low,high,low,medium,high,high,1.416398286819458,0.1818634420633316,low,medium
Finland,2018,high,high,high,high,high,low,low,high,low,medium,high,high,1.4256123304367063,0.18141929805278775,low,low
Finland,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.4278105497360232,0.1835149973630905,low,medium
France,2016,high,high,high,high,medium,low,medium,high,medium,low,high,high,1.8015296459198,0.2782195508480072,low,low
France,2017,high,high,high,high,high,low,medium,high,low,low,high,high,1.6310644149780271,0.2458191066980362,low,low
France,2018,high,high,high,high,high,low,medium,high,medium,low,high,high,1.5990493297576904,0.2398848533630371,low,low
France,2019,high,high,high,high,high,low,medium,medium,low,low,high,high,1.6844309568405151,0.2517967820167541,low,medium
Gabon,2016,medium,medium,medium,low,medium,low,high,medium,high,low,medium,low,2.214463710784912,0.4583137035369873,medium,medium
Gabon,2017,low,medium,medium,low,low,low,high,medium,high,low,medium,low,2.457131147384644,0.5137880444526672,medium,high
Gabon,2018,low,medium,medium,low,medium,low,high,medium,high,low,medium,low,2.62363862991333,0.5485330820083618,medium,medium
Gabon,2019,medium,medium,medium,low,medium,low,high,medium,high,low,medium,low,2.616802453994751,0.5324772000312805,medium,medium
Gambia,2017,low,low,low,low,medium,medium,medium,high,medium,high,medium,low,2.4802308082580566,0.6022990942001343,medium,medium
Gambia,2018,medium,low,low,low,medium,high,medium,high,high,high,medium,low,3.158857583999634,0.6417704224586487,medium,high
Gambia,2019,medium,low,low,low,medium,high,high,high,high,medium,medium,low,3.4521977901458736,0.6685606241226196,medium,medium
Georgia,2016,low,medium,low,medium,low,low,medium,low,low,low,medium,medium,1.960208535194397,0.4406560957431793,medium,medium
Georgia,2017,low,medium,low,medium,high,low,medium,low,low,low,medium,high,1.7750799655914309,0.3988249599933624,medium,medium
Georgia,2018,low,medium,low,medium,medium,low,medium,low,low,low,medium,high,2.223053216934204,0.4771424829959869,medium,medium
Georgia,2019,medium,medium,low,medium,medium,low,medium,low,low,low,medium,high,2.1687335968017583,0.4433373808860779,medium,medium
Germany,2016,high,high,high,high,high,medium,low,medium,low,medium,high,high,1.7759060859680176,0.2583600878715515,low,low
Germany,2017,high,high,high,high,high,medium,low,medium,low,medium,high,high,1.441730260848999,0.2037975788116455,low,low
Germany,2018,high,high,high,high,high,medium,low,high,low,medium,high,high,1.6235891580581665,0.2280845791101456,low,low
Germany,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.7676262855529783,0.2512448728084564,low,low
Ghana,2016,low,low,low,low,medium,medium,high,medium,medium,medium,medium,medium,2.7370426654815674,0.6062900424003601,medium,medium
Ghana,2017,medium,low,low,low,medium,medium,high,medium,low,high,high,medium,2.551119565963745,0.4654214382171631,medium,medium
Ghana,2018,medium,low,medium,low,high,medium,high,medium,low,medium,medium,medium,2.5109379291534424,0.5018169283866882,medium,high
Ghana,2019,medium,low,medium,low,medium,medium,high,medium,medium,medium,medium,medium,2.5462288856506348,0.5126487612724304,medium,medium
Greece,2016,medium,high,medium,high,low,low,high,medium,medium,low,medium,medium,2.31729793548584,0.4370100498199463,low,low
Greece,2017,medium,high,medium,high,low,low,high,low,medium,low,high,medium,2.4116311073303223,0.4684378206729889,low,low
Greece,2018,medium,high,medium,high,low,low,high,medium,medium,low,high,medium,2.0797712802886963,0.3844814300537109,low,low
Greece,2019,medium,high,high,high,low,low,high,medium,low,low,high,medium,2.049610137939453,0.3443474173545837,low,low
Guatemala,2016,high,medium,medium,medium,high,medium,high,high,medium,medium,medium,low,2.6994218826293945,0.424509733915329,high,medium
Guatemala,2017,high,medium,medium,medium,high,medium,high,high,medium,medium,medium,low,2.8589460849761963,0.4519988000392914,high,medium
Guatemala,2018,high,medium,medium,medium,high,medium,medium,high,medium,medium,medium,low,2.840461254119873,0.4286458790302277,high,high
Guatemala,2019,high,medium,medium,medium,high,medium,medium,high,medium,medium,medium,low,2.93322491645813,0.4684035181999207,high,high
Guinea,2016,low,low,low,low,medium,medium,high,medium,high,medium,medium,low,2.1184866428375244,0.5880022644996643,medium,medium
Guinea,2017,medium,low,low,low,medium,medium,medium,medium,high,medium,medium,low,2.969935417175293,0.6093772053718567,medium,high
Guinea,2018,medium,low,low,low,medium,medium,high,medium,high,medium,medium,low,3.3026351928710938,0.6288066506385803,medium,high
Guinea,2019,low,low,low,low,medium,medium,medium,medium,high,medium,medium,low,3.2114446163177486,0.6735858321189879,medium,medium
Haiti,2016,low,low,low,low,low,high,high,low,high,low,medium,low,2.1881439685821533,0.6527291536331177,medium,high
Haiti,2017,low,low,low,low,low,high,medium,low,medium,medium,medium,low,2.156944990158081,0.5640744566917419,medium,high
Haiti,2018,low,low,low,low,low,high,medium,low,medium,low,medium,low,3.0767302513122563,0.8511179685592651,medium,high
Honduras,2016,medium,low,medium,medium,high,medium,high,high,medium,low,medium,low,2.9706189632415767,0.5259450674057007,high,medium
Honduras,2017,medium,low,medium,medium,high,medium,high,high,low,medium,medium,low,2.9635860919952397,0.4922912120819092,high,medium
Honduras,2018,medium,low,medium,medium,high,medium,high,high,medium,low,medium,low,3.1347203254699707,0.530551016330719,high,high
Honduras,2019,medium,low,medium,medium,high,medium,high,high,medium,low,medium,low,3.149577140808105,0.5311213731765747,high,medium
Hong Kong S.A.R. of China,2016,medium,high,medium,medium,medium,medium,low,medium,low,medium,high,high,1.8192381858825684,0.3308655917644501,medium,medium
Hong Kong S.A.R. of China,2017,medium,high,medium,medium,high,medium,low,medium,low,medium,high,high,1.7845594882965088,0.33278653025627136,medium,medium
Hong Kong S.A.R. of China,2019,medium,high,high,medium,medium,medium,low,low,medium,low,high,high,1.8027682304382324,0.3185487389564514,medium,medium
Hungary,2016,medium,high,high,medium,low,low,high,medium,low,low,high,medium,1.8453776836395264,0.3386696577072144,low,low
Hungary,2017,medium,high,high,medium,low,low,high,medium,low,low,high,medium,1.7924091815948486,0.2955313622951508,low,low
Hungary,2018,medium,high,high,medium,medium,low,high,medium,low,low,high,medium,1.7891702651977541,0.3014217019081116,low,low
Hungary,2019,medium,high,high,medium,medium,low,high,medium,low,medium,high,medium,2.0037064552307133,0.3339366018772125,low,medium
Iceland,2016,high,high,high,high,high,high,medium,high,low,low,high,high,1.5712463855743408,0.20921958982944489,low,low
Iceland,2017,high,high,high,high,high,high,medium,high,low,low,high,high,1.630090832710266,0.218036949634552,low,low
Iceland,2019,high,high,high,high,high,high,medium,high,low,medium,high,high,1.5471978187561035,0.20540283620357516,low,low
India,2016,low,medium,low,low,high,medium,medium,medium,medium,high,medium,medium,1.7413492202758791,0.4166727364063263,low,medium
India,2017,low,medium,low,low,high,medium,high,medium,medium,high,medium,medium,1.6598275899887085,0.41022789478302,low,low
India,2018,low,medium,low,low,high,medium,high,medium,medium,high,medium,medium,2.212352752685547,0.5794428586959839,low,medium
India,2019,low,medium,low,low,high,medium,medium,medium,high,high,medium,medium,2.9618031978607178,0.9116691350936891,low,medium
Indonesia,2016,medium,medium,medium,medium,high,high,high,high,medium,high,medium,medium,2.5467782020568848,0.495836615562439,medium,medium
Indonesia,2017,medium,medium,medium,medium,high,high,high,high,medium,high,medium,medium,2.325179100036621,0.4560604095458984,medium,medium
Indonesia,2018,medium,medium,medium,medium,high,high,high,high,medium,high,medium,medium,2.5308024883270264,0.4739067852497101,medium,medium
Indonesia,2019,medium,medium,medium,medium,high,high,high,high,medium,high,medium,medium,2.653823137283325,0.4963652491569519,medium,medium
Iran,2016,low,medium,low,medium,medium,medium,medium,medium,high,high,low,low,2.542438507080078,0.546440064907074,medium,medium
Iran,2017,low,medium,medium,medium,medium,medium,medium,medium,high,medium,low,low,2.4971790313720703,0.5294241905212402,medium,high
Iran,2018,low,medium,low,medium,low,medium,medium,low,high,medium,low,low,2.3757083415985107,0.5553162693977356,medium,medium
Iran,2019,medium,medium,low,medium,low,medium,medium,low,high,medium,low,low,2.551438808441162,0.5096613168716431,medium,medium
Iraq,2016,low,medium,medium,low,medium,medium,high,low,high,medium,low,low,2.9487881660461426,0.668274998664856,low,medium
Iraq,2017,low,medium,low,low,low,medium,medium,low,high,medium,low,low,2.899484872817993,0.6497592329978943,low,medium
Iraq,2018,medium,medium,medium,low,low,low,high,medium,high,low,low,low,2.5624370574951167,0.5024790763854979,low,medium
Ireland,2016,high,high,high,high,high,medium,low,high,low,medium,high,high,1.8430733680725095,0.2617729902267456,low,low
Ireland,2017,high,high,high,high,high,high,low,high,low,medium,high,high,1.7613344192504885,0.24947530031204224,low,low
Ireland,2018,high,high,high,high,high,medium,low,high,low,medium,high,high,1.86378812789917,0.26769581437110895,low,low
Ireland,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.681363821029663,0.2317574918270111,low,medium
Israel,2016,high,high,high,high,medium,medium,high,medium,medium,medium,medium,high,1.66659677028656,0.2327970713376999,medium,low
