Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Israel,2017,high,high,high,high,medium,medium,high,medium,medium,low,medium,high,1.5226829051971436,0.2077036499977112,medium,low
Israel,2018,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,high,1.7349070310592651,0.2504492998123169,medium,low
Italy,2016,medium,high,high,high,low,medium,high,medium,medium,low,high,medium,1.871863603591919,0.3143599033355713,low,medium
Italy,2017,high,high,high,high,low,medium,high,medium,medium,low,high,medium,1.9272465705871584,0.310902863740921,low,low
Italy,2018,high,high,high,high,low,medium,high,medium,high,low,high,medium,1.5227446556091309,0.2336742728948593,low,medium
Italy,2019,high,high,medium,high,medium,medium,high,medium,medium,low,high,medium,1.7024990320205688,0.2641410231590271,low,low
Ivory Coast,2016,low,low,low,low,medium,medium,medium,medium,high,high,medium,low,2.462603807449341,0.5421197414398193,medium,medium
Ivory Coast,2017,medium,low,low,low,medium,low,medium,medium,medium,medium,medium,low,2.6120901107788086,0.5185048580169678,medium,medium
Ivory Coast,2018,medium,low,low,low,medium,medium,high,medium,high,medium,medium,medium,3.078240871429444,0.584286630153656,medium,medium
Ivory Coast,2019,medium,low,low,low,medium,medium,high,medium,high,medium,medium,low,3.2384698390960693,0.6006050705909729,medium,high
Japan,2016,medium,high,high,high,high,medium,medium,high,low,low,high,high,1.8989526033401491,0.3189024329185486,low,low
Japan,2017,medium,high,high,high,high,low,medium,medium,low,medium,high,high,1.9502569437026975,0.3299549520015717,low,medium
Japan,2018,medium,high,high,high,medium,low,medium,medium,low,low,high,high,1.9160255193710327,0.3307155668735504,low,medium
Japan,2019,medium,high,high,high,medium,low,medium,medium,low,medium,high,high,1.8783016204833984,0.31792300939559937,low,medium
Jordan,2016,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,2.6756856441497803,0.507596492767334,low,low
Jordan,2017,low,medium,medium,medium,medium,low,medium,medium,high,medium,medium,medium,2.523892402648926,0.524927020072937,low,low
Jordan,2018,low,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,2.764460563659668,0.5959258675575256,low,medium
Jordan,2019,low,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,2.9430844783782963,0.6609888076782227,low,low
Kazakhstan,2016,medium,high,high,medium,medium,medium,medium,medium,low,high,medium,medium,2.012498140335083,0.3636901378631592,low,low
Kazakhstan,2017,medium,high,high,medium,medium,medium,medium,high,low,high,medium,medium,1.7453237771987915,0.2967051267623901,low,low
Kazakhstan,2018,medium,high,high,medium,high,low,high,medium,low,medium,medium,medium,1.8786886930465696,0.3127167820930481,low,medium
Kazakhstan,2019,high,high,high,medium,high,medium,medium,high,low,high,medium,medium,2.079065561294556,0.33146947622299194,low,low
Kenya,2016,low,low,low,low,medium,high,high,medium,low,medium,medium,low,2.433896780014038,0.5536456108093262,medium,medium
Kenya,2017,low,low,medium,low,high,high,high,high,low,medium,medium,low,2.5323634147644043,0.5658085346221924,medium,medium
Kenya,2018,low,low,low,low,high,high,high,high,low,high,medium,medium,2.7492306232452397,0.590508222579956,medium,high
Kenya,2019,low,low,low,medium,high,high,high,high,low,high,medium,low,3.129460573196411,0.6775410175323486,medium,high
Kosovo,2016,medium,medium,medium,medium,high,medium,high,medium,low,low,medium,medium,2.2976200580596924,0.398933082818985,low,medium
Kosovo,2017,medium,medium,medium,medium,high,medium,high,medium,low,low,medium,medium,2.432453155517578,0.39557230472564703,low,medium
Kosovo,2018,high,medium,medium,medium,high,high,high,high,low,low,medium,medium,2.563801050186157,0.40110620856285095,low,medium
Kosovo,2019,high,medium,medium,medium,high,medium,high,high,low,low,medium,medium,2.5046555995941158,0.3898209035396576,low,medium
Kuwait,2016,medium,high,medium,medium,high,low,medium,medium,medium,medium,medium,medium,2.360634088516236,0.3969323933124542,medium,medium
Kuwait,2017,medium,high,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,2.355753183364868,0.3865752816200256,medium,high
Kuwait,2019,medium,high,medium,medium,high,low,medium,medium,medium,medium,medium,medium,2.4834985733032227,0.4067228734493256,medium,high
Kyrgyzstan,2016,medium,low,high,medium,medium,medium,high,high,low,medium,medium,low,1.919352412223816,0.395210325717926,low,medium
Kyrgyzstan,2017,medium,low,high,medium,high,medium,high,high,low,medium,medium,low,1.9013910293579104,0.33775267004966736,low,low
Kyrgyzstan,2018,medium,low,high,medium,high,high,high,high,low,medium,medium,low,1.901606202125549,0.3589708507061005,low,medium
Kyrgyzstan,2019,medium,low,high,medium,high,medium,high,high,low,medium,medium,low,2.0777726173400883,0.3654691278934479,low,low
Laos,2017,low,medium,low,low,high,medium,medium,high,medium,high,medium,low,1.8819738626480105,0.407076895236969,low,high
Laos,2018,medium,medium,low,low,high,medium,medium,high,medium,high,medium,low,2.1614539623260502,0.4447983205318451,low,medium
Laos,2019,medium,medium,medium,low,high,medium,medium,high,medium,high,medium,low,2.471118450164795,0.4755025804042816,low,medium
Latvia,2016,medium,high,high,medium,medium,low,high,medium,low,low,high,high,1.705120325088501,0.28703573346138,medium,medium
Latvia,2017,medium,high,high,medium,medium,low,high,medium,low,low,high,high,1.8148031234741209,0.3035895824432373,medium,low
Latvia,2018,medium,high,high,medium,low,low,high,low,low,low,high,high,1.718401551246643,0.2911975383758545,medium,low
Latvia,2019,medium,high,high,medium,medium,low,high,low,low,low,high,high,1.5778300762176514,0.2643040418624878,medium,low
Lebanon,2016,medium,medium,medium,medium,low,medium,high,low,medium,low,low,low,2.212087392807007,0.4196932911872864,low,low
Lebanon,2017,medium,medium,medium,medium,low,medium,high,low,low,low,low,low,1.929767608642578,0.3744220733642578,low,low
Lebanon,2018,medium,medium,medium,medium,low,medium,high,low,medium,low,low,low,2.1507933139801025,0.4162406921386719,low,low
Lebanon,2019,low,medium,high,medium,low,medium,high,low,high,low,low,low,2.0346333980560303,0.5055969953536987,low,low
Lesotho,2016,low,low,medium,low,medium,low,medium,medium,medium,medium,medium,medium,3.10268235206604,0.8147361874580383,high,high
Lesotho,2017,low,low,medium,low,medium,low,high,medium,medium,high,medium,medium,2.8437769412994385,0.7492889761924744,high,high
Lesotho,2019,low,low,medium,low,medium,low,high,medium,medium,low,medium,medium,3.058314323425293,0.8708728551864624,high,high
Liberia,2016,low,low,low,low,medium,medium,high,medium,high,medium,medium,low,2.625506639480591,0.7826408743858337,low,medium
Liberia,2017,low,low,low,low,medium,medium,high,medium,high,medium,medium,low,3.393739938735962,0.7670351266860962,low,high
Liberia,2018,low,low,medium,low,medium,medium,high,medium,high,high,medium,low,3.718958377838135,0.8994173407554626,low,high
Liberia,2019,medium,low,medium,low,medium,medium,high,medium,high,medium,medium,low,4.073200702667236,0.7953200936317444,low,high
Libya,2016,medium,medium,high,medium,high,low,medium,medium,high,medium,low,low,2.6879537105560303,0.4946926534175873,medium,medium
Libya,2017,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,low,low,2.5077879428863525,0.4441036880016327,medium,high
Libya,2018,medium,medium,medium,medium,medium,low,medium,medium,high,medium,low,low,2.4723429679870605,0.4500096738338471,medium,high
Libya,2019,medium,medium,medium,medium,medium,low,medium,medium,high,medium,low,low,2.5647542476654053,0.48117211461067205,medium,medium
Lithuania,2016,medium,high,high,medium,low,low,high,low,low,low,high,high,1.906200885772705,0.32498231530189514,medium,low
Lithuania,2017,high,high,high,medium,medium,low,high,low,low,low,high,high,2.1758043766021733,0.3468555808067322,medium,medium
Lithuania,2018,high,high,high,medium,medium,low,high,low,low,low,high,high,1.9539501667022705,0.3097143173217773,medium,low
Lithuania,2019,medium,high,high,medium,medium,low,high,low,medium,low,high,high,2.060576200485229,0.3397992849349976,medium,medium
Luxembourg,2016,high,high,high,high,high,medium,low,high,low,high,high,high,1.389065146446228,0.1993680447340012,low,low
Luxembourg,2017,high,high,high,high,high,medium,low,high,low,high,high,high,1.424475908279419,0.20172767341136927,low,low
Luxembourg,2018,high,high,high,high,high,medium,low,high,low,high,high,high,1.3447816371917725,0.18567584455013275,low,low
Luxembourg,2019,high,high,high,high,high,medium,low,high,low,high,high,high,1.2805593013763428,0.1729547083377838,low,low
Macedonia,2016,medium,medium,high,medium,medium,medium,high,medium,medium,low,medium,medium,2.1750414371490483,0.40687331557273865,medium,medium
Macedonia,2017,medium,medium,medium,medium,medium,medium,high,low,medium,medium,medium,medium,2.111887216567993,0.4035041928291321,medium,low
Macedonia,2018,medium,medium,medium,medium,medium,medium,high,low,medium,low,medium,medium,2.1505968570709233,0.4104321897029877,medium,low
Macedonia,2019,medium,medium,medium,medium,medium,medium,high,low,medium,low,medium,medium,2.22239351272583,0.4431063830852509,medium,low
Madagascar,2016,low,low,medium,low,low,medium,high,high,low,medium,medium,low,1.5325288772583008,0.4183709919452667,medium,medium
Madagascar,2017,low,low,low,low,low,medium,high,high,high,medium,medium,low,2.3289148807525635,0.5710055232048035,medium,high
Madagascar,2018,low,low,low,low,low,medium,high,high,high,medium,medium,low,2.57461166381836,0.6324915289878845,medium,high
Madagascar,2019,low,low,low,low,low,medium,medium,medium,medium,high,medium,low,2.366943359375,0.5454933643341064,medium,medium
Malawi,2016,low,low,low,low,medium,medium,high,low,medium,medium,medium,low,2.2318577766418457,0.6419854760169983,medium,medium
Malawi,2017,low,low,low,low,high,medium,medium,low,medium,medium,medium,low,2.760293245315552,0.8078442811965942,medium,high
Malawi,2018,low,low,low,low,medium,medium,medium,low,high,medium,medium,low,3.128339529037476,0.9381359219551086,medium,high
Malawi,2019,low,low,low,low,medium,medium,medium,low,medium,medium,medium,low,3.6703362464904794,0.9486221075057985,medium,high
Mali,2016,low,low,medium,low,medium,medium,high,high,medium,medium,medium,low,1.7733235359191897,0.4415615499019623,medium,medium
Mali,2017,low,low,medium,low,medium,medium,high,medium,high,medium,low,low,2.511667966842652,0.5296809673309326,medium,medium
Mali,2018,low,low,low,low,medium,medium,high,high,high,medium,low,low,2.631044626235962,0.5958346724510193,medium,high
Mali,2019,medium,low,medium,low,medium,medium,high,medium,medium,medium,low,low,3.1684181690216064,0.6352092027664185,medium,high
Malta,2016,high,high,high,high,high,high,medium,medium,medium,medium,high,high,1.8753358125686648,0.28453660011291504,low,medium
Malta,2017,high,high,high,high,high,high,medium,medium,medium,high,high,high,1.994550347328186,0.2987792491912842,low,medium
Malta,2018,high,high,high,high,high,medium,medium,medium,medium,high,high,high,1.8198602199554443,0.2633771896362305,low,medium
Malta,2019,high,high,high,high,high,high,medium,medium,medium,high,high,high,1.8061362504959104,0.2682522237300873,low,medium
Mauritania,2016,low,low,medium,low,low,low,high,medium,low,low,medium,low,2.1788160800933842,0.4871966242790222,medium,medium
Mauritania,2017,low,low,medium,low,low,low,high,medium,medium,low,medium,low,2.1305499076843257,0.4554247856140137,medium,medium
Mauritania,2018,low,low,medium,low,low,low,medium,medium,medium,low,medium,low,2.1199965476989746,0.4914662837982178,medium,medium
Mauritania,2019,low,low,medium,low,low,low,medium,medium,medium,low,medium,low,2.5839576721191406,0.6222476363182068,medium,medium
Mauritius,2016,medium,medium,medium,medium,high,medium,high,high,low,medium,high,high,2.0858848094940186,0.3718152344226837,medium,medium
Mauritius,2017,medium,medium,high,medium,high,medium,high,high,low,medium,high,high,2.247790575027466,0.3640666902065277,medium,medium
Mauritius,2018,medium,high,high,medium,high,medium,high,high,low,medium,high,high,2.5572583675384517,0.43477919697761536,medium,medium
Mauritius,2019,high,high,high,medium,high,medium,high,high,low,medium,high,high,2.370694160461426,0.3798480033874512,medium,medium
Mexico,2016,high,medium,high,medium,medium,low,high,high,low,low,medium,medium,1.9594572782516482,0.2871347665786743,high,medium
Mexico,2017,high,medium,medium,medium,high,low,high,high,low,low,medium,medium,2.2362072467803955,0.3488459885120392,high,medium
Mexico,2018,high,medium,high,medium,high,low,high,high,low,low,medium,medium,2.3263299465179443,0.35518771409988403,high,medium
Mexico,2019,high,medium,medium,medium,high,low,high,high,low,medium,medium,medium,2.3986034393310547,0.3729203641414641,high,medium
Moldova,2016,medium,medium,medium,medium,low,medium,high,medium,medium,low,medium,low,1.8537135124206543,0.33233869075775146,low,low
Moldova,2017,medium,medium,medium,medium,low,medium,high,low,medium,low,medium,medium,1.885169267654419,0.3539871275424957,low,medium
Moldova,2018,medium,medium,high,medium,high,medium,high,low,medium,low,medium,medium,2.0344412326812744,0.3580327332019806,low,medium
Moldova,2019,medium,medium,medium,medium,medium,medium,high,medium,medium,low,medium,medium,2.345360279083252,0.4041320383548737,low,medium
Mongolia,2016,medium,medium,high,medium,medium,medium,high,medium,low,low,high,medium,1.6921592950820925,0.3346172571182251,low,medium
Mongolia,2017,medium,medium,high,medium,medium,medium,high,medium,low,low,high,medium,2.0951616764068604,0.392804741859436,low,medium
Mongolia,2018,medium,medium,high,medium,medium,medium,high,medium,low,low,high,medium,2.0101244449615483,0.3678432106971741,low,low
Mongolia,2019,medium,medium,high,medium,medium,medium,high,medium,low,low,high,medium,1.9513472318649288,0.3507784307003021,low,low
Montenegro,2016,medium,medium,high,medium,low,medium,high,low,medium,low,medium,medium,2.2282915115356445,0.4201100468635559,low,low
Montenegro,2017,medium,medium,high,medium,low,medium,medium,low,medium,low,medium,medium,2.2075119018554688,0.3931595981121063,low,low
Montenegro,2018,medium,medium,high,medium,low,medium,medium,low,medium,low,medium,medium,2.2703628540039062,0.4018206298351288,low,medium
Montenegro,2019,medium,medium,medium,medium,medium,low,high,low,high,low,medium,medium,2.1995067596435547,0.4083729386329651,low,low
Morocco,2016,medium,medium,low,medium,high,low,medium,medium,low,medium,medium,medium,2.1439924240112305,0.3980449438095093,medium,medium
Morocco,2017,medium,medium,low,medium,medium,low,high,low,medium,medium,medium,medium,2.287168264389038,0.4305271804332733,medium,medium
Morocco,2018,medium,medium,low,medium,medium,low,high,medium,high,medium,medium,medium,2.7105112075805664,0.5535279512405396,medium,medium
Morocco,2019,medium,medium,low,medium,medium,low,medium,low,high,medium,medium,medium,2.62931489944458,0.5199612379074097,medium,high
Mozambique,2017,low,low,low,low,high,medium,medium,medium,medium,high,medium,low,2.9850199222564697,0.6974568367004395,high,high
Mozambique,2018,low,low,medium,low,high,medium,medium,medium,high,high,medium,low,3.3264319896698,0.7147908806800842,high,high
Mozambique,2019,medium,low,medium,low,high,medium,medium,low,high,high,medium,low,3.843173503875733,0.7792112827301025,high,high
Myanmar,2016,low,medium,medium,low,high,high,medium,high,medium,high,medium,low,1.850762724876404,0.4003276526927948,medium,medium
Myanmar,2017,low,medium,medium,low,high,high,medium,medium,medium,high,low,low,2.233865976333618,0.5377184152603149,medium,medium
Myanmar,2018,low,medium,medium,low,high,high,medium,high,medium,high,low,low,2.2870407104492188,0.5185288786888123,medium,medium
Myanmar,2019,low,medium,medium,low,high,high,medium,high,medium,high,low,low,2.334933280944824,0.5265693068504333,medium,medium
Namibia,2017,low,medium,medium,low,medium,low,high,medium,medium,high,high,medium,2.7397732734680176,0.6168845891952515,high,high
Namibia,2018,medium,medium,high,low,medium,low,high,medium,low,medium,high,medium,2.1019375324249268,0.43481576442718506,high,high
Namibia,2019,low,medium,medium,low,medium,low,high,medium,medium,medium,high,medium,2.911251783370972,0.6563065648078918,high,high
Nepal,2016,medium,low,medium,medium,high,medium,high,medium,high,medium,medium,low,2.442025899887085,0.4788718223571777,medium,medium
Nepal,2017,low,low,medium,medium,high,medium,medium,low,high,medium,medium,low,2.4684536457061768,0.5211344361305237,medium,medium
Nepal,2018,medium,low,medium,medium,medium,medium,medium,low,high,medium,medium,low,3.040154457092285,0.6191651225090027,medium,medium
Nepal,2019,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,low,3.196477174758911,0.5866468548774719,medium,medium
Netherlands,2016,high,high,high,high,high,high,low,high,low,medium,high,high,1.281471610069275,0.1699366718530655,low,medium
Netherlands,2017,high,high,high,high,high,high,low,high,low,high,high,high,1.3184798955917358,0.17676444351673126,low,medium
Netherlands,2018,high,high,high,high,high,medium,low,high,low,medium,high,high,1.2347326278686523,0.16544507443904874,low,medium
Netherlands,2019,high,high,high,high,high,high,low,high,low,medium,high,high,1.293794870376587,0.17424216866493225,low,medium
New Zealand,2016,high,high,high,high,high,high,low,high,low,medium,high,high,1.7404985427856443,0.2408765107393265,medium,medium
New Zealand,2017,high,high,high,high,high,high,low,high,low,medium,high,high,1.6503357887268066,0.22523470222949984,medium,medium
New Zealand,2018,high,high,high,high,high,medium,low,high,low,medium,high,high,1.569916009902954,0.2130061239004135,medium,medium
New Zealand,2019,high,high,high,high,high,medium,low,high,low,high,high,high,1.79197895526886,0.24870721995830536,medium,medium
Nicaragua,2016,medium,low,medium,medium,medium,medium,medium,high,high,medium,medium,low,2.8001537322998047,0.4657034575939178,high,medium
Nicaragua,2017,high,low,medium,medium,high,medium,medium,high,medium,medium,medium,low,2.65725326538086,0.4103006422519684,high,medium
Nicaragua,2018,medium,low,medium,medium,medium,medium,medium,high,high,low,low,low,2.7110755443573,0.4659043848514557,high,medium
Nicaragua,2019,medium,low,high,medium,high,medium,medium,high,medium,medium,medium,low,3.1123888492584233,0.5091805458068848,high,medium
Niger,2016,low,low,low,low,medium,medium,high,medium,medium,medium,medium,low,2.279543876647949,0.5383080244064331,medium,medium
Niger,2017,low,low,low,low,medium,medium,high,medium,high,medium,medium,low,2.780397891998291,0.6023818254470825,medium,high
Niger,2018,medium,low,low,low,medium,medium,medium,high,high,high,medium,low,3.5702004432678223,0.6913623809814453,medium,high
Niger,2019,medium,low,low,low,high,medium,medium,high,medium,high,medium,low,3.077076911926269,0.6149794459342957,medium,high
Nigeria,2016,medium,medium,medium,low,medium,medium,high,medium,low,medium,low,low,2.5199592113494877,0.4827907681465149,medium,medium
Nigeria,2017,medium,medium,medium,low,high,medium,high,medium,low,medium,low,low,2.9479031562805176,0.5539163947105408,medium,medium
Nigeria,2018,medium,medium,medium,low,medium,medium,high,high,medium,medium,low,low,2.6391255855560303,0.5024715662002563,medium,medium
Nigeria,2019,low,medium,medium,low,medium,medium,high,medium,low,low,low,low,2.734458446502685,0.6276848912239075,medium,medium
North Cyprus,2016,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,1.857637882232666,0.3187913298606873,medium,low
North Cyprus,2018,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,1.807883143424988,0.32237252593040466,medium,low
North Cyprus,2019,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,1.9528169631958008,0.3572259843349457,medium,low
Norway,2016,high,high,high,high,high,medium,low,high,low,medium,high,high,1.5792648792266846,0.2078983634710312,low,low
Norway,2017,high,high,high,high,high,high,low,high,low,high,high,high,1.6217260360717771,0.2139834612607956,low,low
Norway,2018,high,high,high,high,high,medium,low,high,low,high,high,high,1.5195953845977783,0.2041297554969788,low,low
Norway,2019,high,high,high,high,high,medium,low,high,low,medium,high,high,1.5853207111358645,0.2130194753408432,low,low
Pakistan,2016,medium,low,low,low,low,medium,high,medium,medium,medium,low,low,1.956958293914795,0.3526999056339264,low,low
Pakistan,2017,medium,low,low,low,medium,medium,medium,low,medium,medium,low,low,1.778067946434021,0.3049403727054596,low,medium
Pakistan,2018,medium,low,low,low,medium,medium,high,low,high,medium,low,low,2.363150119781494,0.4318974614143372,low,low
Palestinian Territories,2016,medium,low,medium,medium,low,low,high,low,high,medium,low,medium,2.3755087852478027,0.4841438233852386,medium,medium
Palestinian Territories,2017,low,low,medium,medium,low,low,high,low,high,medium,low,medium,2.521674156188965,0.5448578000068665,medium,medium
Palestinian Territories,2018,low,low,medium,medium,low,low,high,low,high,low,low,medium,2.5803892612457275,0.5666301250457764,medium,medium
Palestinian Territories,2019,low,low,medium,medium,low,low,high,medium,high,low,low,medium,2.569387197494507,0.5731992721557617,medium,medium
Panama,2016,medium,high,high,high,high,low,high,high,low,low,high,medium,2.645735740661621,0.432476669549942,high,medium
Panama,2017,high,high,high,high,high,low,high,high,low,low,high,medium,2.67718768119812,0.4076319634914398,high,medium
Panama,2018,high,high,high,high,high,low,high,high,low,low,high,medium,2.5328612327575684,0.4032297730445862,high,medium
Panama,2019,medium,high,high,high,high,low,high,high,low,low,high,medium,2.914560079574585,0.478899359703064,high,medium
Paraguay,2016,medium,medium,high,medium,high,medium,medium,high,low,low,medium,low,1.9607025384902956,0.3379717469215393,high,medium
Paraguay,2017,medium,medium,high,medium,high,medium,high,high,low,low,medium,low,2.428467273712158,0.4250554442405701,high,medium
Paraguay,2019,medium,medium,high,medium,high,medium,high,high,medium,low,medium,low,2.598292827606201,0.4596612453460693,high,medium
Peru,2016,medium,medium,medium,medium,high,low,high,high,medium,low,medium,medium,2.3739392757415767,0.416434645652771,high,medium
Peru,2017,medium,medium,medium,medium,high,low,high,high,high,low,medium,medium,2.5943140983581543,0.4542712271213532,high,medium
Peru,2018,medium,medium,medium,medium,high,low,high,high,high,low,medium,medium,2.694195508956909,0.474358469247818,high,medium
Peru,2019,medium,medium,medium,medium,medium,low,high,high,high,low,medium,medium,2.596575975418091,0.4328072667121887,high,medium
Philippines,2016,medium,medium,medium,medium,high,medium,high,high,medium,high,medium,medium,2.4706177711486816,0.4549242854118347,high,medium
Philippines,2017,medium,medium,medium,medium,high,low,medium,high,medium,high,medium,medium,2.5971851348876958,0.464258074760437,high,medium
Philippines,2018,medium,medium,medium,medium,high,low,medium,high,high,high,medium,medium,2.7002577781677246,0.4600746929645538,high,medium
Philippines,2019,high,medium,medium,medium,high,medium,medium,high,medium,high,medium,medium,2.5844788551330566,0.4123458862304688,high,medium
Poland,2016,medium,high,high,medium,high,low,high,high,low,low,high,high,1.8458486795425413,0.29954978823661804,low,low
Poland,2017,high,high,high,medium,high,low,medium,medium,low,medium,high,high,1.6274428367614746,0.262437105178833,low,low
Poland,2018,medium,high,high,high,high,low,medium,medium,low,medium,high,medium,1.7358081340789795,0.2840239405632019,low,low
Poland,2019,high,high,high,high,high,low,medium,medium,low,medium,high,high,1.6209763288497925,0.2596847116947174,low,low
Portugal,2016,medium,high,high,high,high,low,high,medium,medium,low,high,high,2.1320128440856934,0.3914365470409393,medium,medium
Portugal,2017,medium,high,high,high,high,low,high,medium,medium,medium,high,high,2.205086708068848,0.3860784471035004,medium,medium
Portugal,2018,medium,high,high,high,high,low,high,medium,medium,medium,high,high,2.1706221103668213,0.3666701316833496,medium,medium
Portugal,2019,medium,high,high,high,high,low,high,medium,medium,medium,high,high,2.1275293827056885,0.34903430938720703,medium,medium
Romania,2016,medium,high,medium,medium,high,low,high,medium,medium,low,high,medium,2.1998863220214844,0.36855989694595337,medium,low
Romania,2017,medium,high,medium,medium,high,low,high,medium,low,low,medium,medium,2.141298055648804,0.351614385843277,medium,medium
Romania,2018,medium,high,medium,medium,high,low,high,medium,medium,low,medium,medium,2.1965672969818115,0.35711437463760376,medium,low
Romania,2019,medium,high,medium,medium,high,low,high,medium,low,low,high,medium,2.2175679206848145,0.3617599904537201,medium,medium
Russia,2016,medium,high,high,medium,medium,low,high,medium,low,medium,low,low,2.0901989936828613,0.3569971621036529,medium,low
Russia,2017,medium,high,high,medium,medium,low,high,medium,low,medium,medium,low,2.1246886253356934,0.3808543682098389,medium,low
Russia,2018,medium,high,high,medium,medium,low,high,medium,low,medium,medium,low,2.1814813613891597,0.3956618010997772,medium,medium
Rwanda,2016,low,low,low,low,high,medium,low,high,medium,high,medium,medium,1.895575165748596,0.5687311291694641,high,high
Rwanda,2017,low,low,low,low,high,medium,low,high,medium,high,medium,medium,2.1287312507629395,0.6848375797271729,high,high
Rwanda,2018,low,low,low,medium,high,medium,low,high,medium,high,medium,medium,2.3322699069976807,0.6549394726753235,high,high
Rwanda,2019,low,low,low,medium,high,medium,low,medium,high,high,medium,medium,2.6116364002227783,0.7991171479225159,high,high
Saudi Arabia,2016,high,high,high,medium,medium,low,medium,high,medium,medium,low,medium,2.0700845718383794,0.3197574615478516,medium,high
Saudi Arabia,2017,high,high,medium,medium,medium,low,medium,high,medium,medium,low,medium,2.508923053741455,0.39860349893569946,medium,medium
Saudi Arabia,2018,high,high,high,medium,high,low,medium,high,medium,medium,low,medium,2.324450969696045,0.3656871020793915,medium,medium
Saudi Arabia,2019,high,high,high,medium,high,low,medium,medium,low,medium,low,medium,2.421713829040528,0.36909350752830505,medium,medium
Senegal,2016,low,low,medium,low,medium,low,high,high,low,medium,medium,medium,1.815144658088684,0.395066112279892,medium,medium
Senegal,2017,low,low,medium,low,medium,medium,high,medium,medium,medium,medium,medium,2.0076375007629395,0.4287052750587464,medium,medium
Senegal,2018,low,low,medium,low,low,medium,high,medium,low,medium,medium,medium,1.9640820026397705,0.4118109941482544,medium,medium
Senegal,2019,medium,low,low,low,medium,medium,high,high,medium,medium,medium,medium,2.9525442123413086,0.5379278063774109,medium,medium
Serbia,2016,medium,medium,high,medium,low,medium,high,low,medium,medium,medium,medium,2.436187744140625,0.4234819412231445,medium,low
Serbia,2017,medium,medium,high,medium,medium,medium,high,low,medium,medium,medium,medium,2.3945095539093018,0.4674921929836273,medium,low
Serbia,2018,medium,medium,medium,medium,medium,low,high,low,medium,medium,medium,medium,2.24608850479126,0.3783527314662933,medium,low
Serbia,2019,high,medium,high,medium,medium,medium,high,low,low,medium,medium,medium,2.254280805587769,0.3611814975738525,medium,low
Sierra Leone,2016,low,low,low,low,medium,medium,high,low,high,high,medium,low,3.5278203487396236,0.7453740239143372,medium,high
Sierra Leone,2017,low,low,low,low,medium,medium,high,low,high,high,medium,low,2.595259189605713,0.6346055865287781,medium,high
Sierra Leone,2018,low,low,low,low,medium,medium,high,low,high,high,medium,low,3.0480840206146236,0.7079211473464966,medium,high
Sierra Leone,2019,low,low,low,low,medium,medium,high,low,high,high,medium,low,2.609865427017212,0.7570573091506958,medium,high
Singapore,2016,medium,high,high,high,high,medium,low,high,low,high,high,high,1.302087903022766,0.2158104032278061,medium,medium
Singapore,2017,high,high,high,high,high,medium,low,high,low,high,high,high,1.41807222366333,0.22232280671596527,medium,medium
Singapore,2018,high,high,high,high,high,medium,low,high,low,high,high,high,1.577076435089111,0.2474014461040497,medium,medium
Singapore,2019,high,high,high,high,high,medium,low,medium,low,high,high,high,1.5281410217285156,0.2395821362733841,medium,medium
Slovakia,2016,medium,high,high,medium,medium,medium,high,high,low,low,high,medium,1.9160094261169436,0.3196991980075836,low,low
Slovakia,2017,high,high,high,medium,medium,medium,high,high,low,low,high,medium,1.89752197265625,0.2980943024158478,low,low
Slovakia,2018,high,high,high,medium,medium,low,high,high,low,low,high,medium,1.7750695943832395,0.284689337015152,low,low
Slovakia,2019,high,high,high,high,medium,low,high,high,low,low,high,medium,1.926961064338684,0.3086382746696472,low,low
Slovenia,2016,medium,high,high,high,high,medium,high,medium,medium,low,high,high,2.107287883758545,0.3549522161483765,low,low
Slovenia,2017,medium,high,high,high,high,medium,high,low,medium,low,high,high,1.9823006391525269,0.3214452564716339,low,low
Slovenia,2018,high,high,high,high,high,low,high,medium,medium,low,high,high,1.9465738534927368,0.3114807605743408,low,low
Slovenia,2019,high,high,high,high,high,low,high,medium,low,low,high,high,1.891706466674805,0.2838152647018433,low,low
South Africa,2016,low,medium,high,low,medium,medium,high,high,medium,medium,medium,medium,2.7798213958740234,0.5828036069869995,high,medium
South Africa,2017,low,medium,high,low,medium,low,high,high,medium,medium,medium,medium,2.419569492340088,0.5360554456710815,high,medium
South Africa,2018,medium,medium,medium,low,medium,medium,high,high,medium,medium,medium,medium,2.712254762649536,0.5553435683250427,high,high
