Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices ,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini Index(Household),Life Ladder
66,47,35,51,30,21,52,99,56,0,0,98,5.49397754669189
32,21,28,93,81,19,110,71,100,25,18,85,5.1968560218811
33,5,30,83,87,41,34,107,97,48,61,82,3.24876976013184
24,56,58,90,83,51,101,44,56,35,26,91,6.01998567581177
64,111,36,88,106,37,3,11,56,9,1,14,5.47429990768433
11,14,5,31,51,59,46,93,51,31,8,81,3.60285472869873
25,59,57,28,75,37,87,94,75,41,26,45,6.01273965835571
30,88,44,111,108,15,95,24,105,15,10,32,6.20546007156372
22,18,39,91,57,30,7,89,99,21,18,27,4.49921703338623
107,104,82,93,103,7,98,26,77,99,97,27,7.06015539169312
72,71,76,52,48,63,97,56,28,85,94,56,6.43622064590454
48,39,35,79,110,81,110,69,97,53,56,56,5.34651279449463
69,88,72,83,35,27,110,56,31,98,84,56,6.37171459197998
85,87,86,46,97,54,42,56,37,56,94,0,7.33103609085083
32,43,48,51,53,88,27,49,23,50,37,55,5.80345058441162
11,52,4,21,47,82,88,71,63,20,20,56,4.01602792739868
64,50,71,21,37,65,15,90,39,63,66,25,5.38602495193482
85,71,85,48,97,59,27,50,45,60,95,6,7.159010887146
46,31,55,8,50,96,4,42,7,10,27,11,5.15398979187012
60,34,75,89,18,37,105,14,56,21,63,85,5.13143396377564
0,15,8,68,75,36,91,71,91,21,27,98,5.00354433059692
84,77,76,68,17,84,64,34,29,95,90,3,6.7895679473877
110,101,84,84,72,7,71,15,87,108,104,7,6.96734094619751
13,34,18,7,20,55,0,64,10,0,1,28,3.25356006622314
61,70,52,83,30,40,80,50,40,64,41,75,6.00423717498779
95,95,81,57,31,19,68,45,46,91,96,6,6.89217185974121
11,23,4,41,47,82,65,98,61,12,22,88,4.74185037612915
13,9,10,35,86,49,66,105,76,21,8,99,5.25222682952881
96,91,89,96,89,12,93,60,66,105,104,76,7.10907649993897
107,59,58,106,76,37,82,69,56,51,93,110,6.60374355316162
62,63,59,93,105,94,102,17,77,21,64,72,6.01156187057495
69,86,71,90,37,19,99,58,41,98,85,39,6.33600997924805
88,106,90,50,54,36,39,75,33,81,86,28,6.45744943618774
62,77,49,11,30,21,7,36,46,24,35,3,5.55291509628296
107,61,60,96,90,37,84,59,56,49,93,111,6.71078252792358
48,44,60,65,77,82,91,74,70,58,55,35,4.21329927444458
35,77,52,1,22,90,46,98,3,12,1,36,4.04111480712891
96,90,88,106,88,8,94,49,78,104,103,66,7.17549657821655
18,69,38,77,99,86,71,5,69,39,19,30,5.62953662872314
59,26,30,35,8,74,47,101,30,31,18,87,4.91439342498779
50,39,60,40,51,79,3,66,46,49,64,28,5.23386669158936
50,16,72,50,36,97,43,55,28,68,57,37,4.9953179359436
93,99,81,59,107,11,72,25,46,88,101,28,7.10327339172363
45,101,46,75,45,42,111,17,18,62,29,70,5.8013801574707
56,70,63,20,42,78,3,78,61,63,60,27,5.12203121185303
91,70,88,52,39,19,76,53,18,73,96,17,6.47520875930786
43,14,39,58,4,21,20,42,39,59,82,62,4.89183568954468
48,71,50,83,72,87,106,56,6,60,29,52,5.6526255607605
97,104,89,98,90,12,75,20,51,100,103,95,7.23399496078491
83,97,70,86,28,19,85,5,42,91,96,27,6.09130239486694
100,111,85,110,105,29,99,9,63,106,100,9,7.53250455856323
20,66,39,99,71,88,74,23,61,37,18,23,5.68522071838379
54,24,47,1,30,37,38,93,56,15,15,99,5.34085369110107
27,22,3,52,63,83,87,48,47,6,10,60,5.25228834152222
25,16,23,48,80,57,9,93,75,3,25,30,5.47155380249023
0,21,18,45,81,84,38,105,89,55,7,106,4.13485288619995
47,47,58,66,86,74,85,52,61,58,55,51,4.33094549179077
79,80,81,70,7,99,44,78,30,97,92,61,5.44663715362549
44,21,57,15,11,72,15,90,30,42,57,55,4.7411322593689
0,4,20,73,70,37,21,73,81,54,30,93,3.41686296463013
97,88,82,83,74,14,79,41,76,96,102,3,7.11836433410645
30,26,28,90,110,26,70,60,100,15,14,54,4.43423748016357
21,10,17,58,81,70,66,98,76,57,36,90,3.30679655075073
47,77,47,88,68,61,111,36,35,59,30,60,5.71329545974731
59,32,47,48,3,16,16,14,99,11,37,1,5.16799545288086
38,44,55,45,26,37,26,98,56,28,73,25,4.80808258056641
104,106,89,101,101,7,76,16,99,106,110,5,7.47359323501587
82,98,68,78,36,23,87,5,39,93,95,36,5.93839597702026
17,20,28,75,104,79,83,35,83,25,37,81,4.47565412521362
17,14,38,68,91,35,19,57,104,7,6,27,5.82923412322998
101,71,42,43,45,40,99,0,25,93,95,30,6.35945081710815
101,109,85,110,72,1,107,11,82,103,106,80,7.69300317764282
24,49,59,82,89,59,109,60,38,35,26,107,5.90842390060425
84,31,89,37,69,83,73,61,26,86,86,34,6.13683271408081
45,10,66,33,63,93,42,77,38,67,57,46,4.51110076904297
97,101,88,98,96,10,72,12,51,102,103,54,7.17699337005615
32,58,66,108,30,52,70,12,56,31,51,33,5.46745109558106
31,37,36,84,57,79,80,93,39,54,14,55,5.76972341537476
87,88,88,13,59,84,38,77,8,81,79,18,6.19887018203735
66,14,51,8,77,30,8,109,66,6,14,57,4.27811765670776
8,4,6,2,77,54,9,85,26,1,3,47,4.22016859054565
64,71,62,40,22,60,106,30,17,42,51,55,6.82417297363281
6,12,15,2,108,21,10,77,45,24,2,93,3.82386565208435
4,6,5,28,83,86,4,105,99,54,12,107,3.44738149642944
60,59,66,37,36,82,8,64,52,62,60,21,5.93649339675903
25,16,22,26,74,33,13,72,68,2,26,44,5.83087062835693
72,70,76,85,13,84,110,42,39,72,63,88,6.08595514297485
30,19,23,88,83,17,109,84,100,25,22,96,4.62314081192017
43,58,66,84,20,37,97,74,84,55,28,44,5.83951854705811
71,55,76,15,87,81,108,59,5,82,94,71,6.57905626296997
22,12,18,40,87,91,41,71,61,66,58,87,4.51441144943237
5,17,14,20,109,57,76,99,84,49,35,93,5.16362714767456
17,23,28,20,53,67,66,62,78,64,55,56,4.68302488327026
24,45,42,16,27,62,21,103,37,6,45,72,4.55392169952393
46,62,62,1,45,91,0,109,2,11,26,6,4.02421951293945
99,98,85,105,86,5,96,20,61,104,108,24,7.39809274673462
78,86,56,9,9,57,13,15,5,77,86,13,5.90115404129028
78,71,84,10,0,75,41,38,37,71,67,28,5.95215749740601
48,55,19,40,51,72,90,59,63,65,66,107,4.88392210006714
17,18,30,63,108,74,72,39,87,22,37,96,4.65570259094238
0,5,6,20,63,49,60,103,77,21,26,106,4.61567354202271
56,28,72,84,13,37,92,28,56,21,62,104,5.09906148910522
61,21,27,18,40,57,2,111,42,2,5,88,4.41253709793091
19,23,31,109,83,72,100,98,91,38,12,88,4.46125936508179
18,14,4,26,67,87,38,91,81,14,11,91,4.81623220443726
26,8,22,22,30,38,14,106,52,22,6,98,5.49021434783936
79,66,59,18,28,89,62,11,35,76,79,13,6.06503868103027
44,20,55,2,7,84,0,93,10,39,57,45,4.124342918396
80,62,75,81,2,35,65,8,44,78,81,0,6.11148500442505
24,47,42,13,21,69,17,102,41,5,52,70,4.62813282012939
43,59,69,80,37,69,110,78,39,59,30,56,6.12801027297974
13,9,6,36,75,41,51,103,84,24,7,103,4.87372255325317
7,33,7,10,51,36,13,86,65,39,42,89,4.64689111709595
59,80,79,102,28,70,104,70,18,89,79,86,6.99761867523193
8,22,14,48,81,63,51,99,85,31,35,105,4.00051689147949
16,34,2,28,28,97,62,55,23,57,44,98,3.51178050041199
61,82,32,30,76,37,4,85,56,9,1,0,5.22914886474609
84,98,71,87,38,16,87,4,39,93,96,27,6.03464126586914
99,111,85,108,106,35,109,4,32,106,100,17,7.51003456115723
107,60,55,85,59,37,47,71,56,44,59,97,6.09390544891357
87,44,85,7,72,82,42,36,9,71,90,34,5.97056436538696
16,14,21,57,95,18,73,30,103,38,30,93,3.44502329826355
28,36,24,86,110,19,66,59,99,15,14,50,4.15434169769287
62,29,28,68,4,53,54,55,87,83,80,103,3.47108483314514
88,96,82,98,108,29,46,86,80,99,90,40,6.59084224700928
8,25,13,36,95,62,41,101,87,24,35,106,4.23326110839844
